stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:OCECar TER-85001412,Courchavon,,47.4397700,7.05765000,,,0,StopArea:OCE85001412
StopPoint:OCETrain TER-85001412,Courchavon,,47.4397700,7.05765000,,,0,StopArea:OCE85001412
StopArea:OCE85001446,Buix,,47.4793300,7.02998000,,,1,
StopPoint:OCECar TER-85001446,Buix,,47.4793300,7.02998000,,,0,StopArea:OCE85001446
StopPoint:OCETrain TER-85001446,Buix,,47.4793300,7.02998000,,,0,StopArea:OCE85001446
StopArea:OCE85001594,Grenchen Nord,,47.1918000,7.38947000,,,1,
StopPoint:OCETrain TER-85001594,Grenchen Nord,,47.1918000,7.38947000,,,0,StopArea:OCE85001594
StopArea:OCE85010009,Zimeysa,,46.2212630,6.06573900,,,1,
StopPoint:OCETrain TER-85010009,Zimeysa,,46.2212630,6.06573900,,,0,StopArea:OCE85010009
StopArea:OCE85010025,Russin,,46.1877710,6.01755300,,,1,
StopPoint:OCETrain TER-85010025,Russin,,46.1877710,6.01755300,,,0,StopArea:OCE85010025
StopArea:OCE85010033,Satigny,,46.2142400,6.03749000,,,1,
StopPoint:OCETrain TER-85010033,Satigny,,46.2142400,6.03749000,,,0,StopArea:OCE85010033
StopArea:OCE85010066,Meyrin,,46.2223500,6.07690000,,,1,
StopPoint:OCETrain TER-85010066,Meyrin,,46.2223500,6.07690000,,,0,StopArea:OCE85010066
StopArea:OCE85010074,Vernier,,46.2207100,6.09389200,,,1,
StopPoint:OCETrain TER-85010074,Vernier,,46.2207100,6.09389200,,,0,StopArea:OCE85010074
StopArea:OCE85010082,Geneve,,46.2102200,6.14244000,,,1,
StopPoint:OCECar TER-85010082,Geneve,,46.2102200,6.14244000,,,0,StopArea:OCE85010082
StopPoint:OCETrain TER-85010082,Geneve,,46.2102200,6.14244000,,,0,StopArea:OCE85010082
